Cluster	DNase_ENCODE_ID	DNase_Output_Type
suppressor_macrophage_ENCSR564XXO	ENCFF663WLG	alignments
suppressor_macrophage_ENCSR069ICJ	ENCFF325VWJ	alignments
suppressor_macrophage_ENCSR325GNM	ENCFF889KVB	alignments
suppressor_macrophage_ENCSR367FKP	ENCFF380VRF, ENCFF471JQT	alignments, alignments
suppressor_macrophage_ENCSR371CCL	ENCFF797DNO	alignments
suppressor_macrophage_ENCSR711AQM	ENCFF414KKQ	alignments
inflammatory_macrophage_ENCSR643ZGR	ENCFF410EXE	alignments
inflammatory_macrophage_ENCSR803BLT	ENCFF242LEO	alignments
inflammatory_macrophage_ENCSR226JLK	ENCFF734GJO	alignments
inflammatory_macrophage_ENCSR593WXK	ENCFF695BGO	alignments
inflammatory_macrophage_ENCSR721XAP	ENCFF612HFB, ENCFF818LQS	alignments, alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR000EIF	ENCFF554YMY	unfiltered alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR000EML	ENCFF344LQP	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR000EMM	ENCFF216KVD	unfiltered alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR125OEJ	ENCFF865DML	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR181OGW	ENCFF653TPH	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR232NLA	ENCFF772JPZ	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR302MYX	ENCFF797SND	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR304CXS	ENCFF441XFT	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR387EYA	ENCFF528COZ	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR531AYV	ENCFF145NLF	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR614NSH	ENCFF189WRG	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR787ERP	ENCFF626JAC	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR794KUS	ENCFF900TQP	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR875IVR	ENCFF995UVE	alignments
naive_thymus-derived_CD4-positive__alpha-beta_T_cell_ENCSR969QKG	ENCFF682STC	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR173HPQ	ENCFF940SGS	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR799MVH	ENCFF430XJH	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR841UCZ	ENCFF274OYN	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR273USD	ENCFF336SGK	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR679EFH	ENCFF301HWJ	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR935HEI	ENCFF805CDT	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR121BSW	ENCFF072YRU	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR124PXN	ENCFF457USJ	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR312ZTS	ENCFF836TDX	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR493IQY	ENCFF968IHM	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR696LPC	ENCFF739DIO	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR541ZOU	ENCFF129MZG	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR604FER	ENCFF344GNL	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR365CUB	ENCFF474YVS	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR436JRE	ENCFF516AFP	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR139PLJ	ENCFF783MHU	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR322BYN	ENCFF581PGG	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR740DJQ	ENCFF016ISY	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR516JCM	ENCFF159SUT	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR154NOT	ENCFF879KDW	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR768AWY	ENCFF544KYE	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR180KMR	ENCFF420MCP	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR698VDM	ENCFF182ETW	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR874DUP	ENCFF020MVR	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR144NXI	ENCFF551ODD	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR457JOG	ENCFF875DPQ	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR252NVI	ENCFF404RBX	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR801VSK	ENCFF220ACX	alignments
activated_CD4-positive__alpha-beta_T_cell_ENCSR323LVJ	ENCFF640GEZ	alignments
CD4-positive__alpha-beta_memory_T_cell_ENCSR239XNU	ENCFF534DMM	alignments
CD4-positive__alpha-beta_memory_T_cell_ENCSR437PXY	ENCFF714KUG	alignments
CD4-positive__alpha-beta_memory_T_cell_ENCSR526TFD	ENCFF827CMG	alignments
CD4-positive__alpha-beta_memory_T_cell_ENCSR862ZDV	ENCFF740KCH	alignments
CD4-positive__alpha-beta_memory_T_cell_ENCSR977UMU	ENCFF686VLF	alignments
T-helper_17_cell_ENCSR000EQF	ENCFF274KXI	unfiltered alignments
T-helper_17_cell_ENCSR139KYP	ENCFF301RBU	alignments
T-helper_17_cell_ENCSR537TXP	ENCFF035LTI	alignments
T-helper_17_cell_ENCSR623PVB	ENCFF600KBG	alignments
T-helper_17_cell_ENCSR709YRE	ENCFF520CBX	alignments
